"individualAdultID","lightWavelength","behaviorType","day","Value"
"14","365nm","Time_In_Thigmotaxis_Zone",8,503.64
"14","365nm","Time_In_Thigmotaxis_Zone",9,512.46
"14","365nm","Time_In_Thigmotaxis_Zone",10,512.58
"15","365nm","Time_In_Thigmotaxis_Zone",1,329.45
"15","365nm","Time_In_Thigmotaxis_Zone",2,371.16
"15","365nm","Time_In_Thigmotaxis_Zone",3,376.58
"15","365nm","Time_In_Thigmotaxis_Zone",4,376.19
"15","365nm","Time_In_Thigmotaxis_Zone",5,507.65
"15","365nm","Time_In_Thigmotaxis_Zone",6,505.17
"15","365nm","Time_In_Thigmotaxis_Zone",7,500.18
"15","365nm","Time_In_Thigmotaxis_Zone",8,505.65
"15","365nm","Time_In_Thigmotaxis_Zone",9,562.17
"15","365nm","Time_In_Thigmotaxis_Zone",10,504.28
"1","365nm","Time_In_Transition_Zone",1,143.2
"1","365nm","Time_In_Transition_Zone",2,142.5
"1","365nm","Time_In_Transition_Zone",3,145.71
"1","365nm","Time_In_Transition_Zone",4,154.23
"1","365nm","Time_In_Transition_Zone",5,52.12
"1","365nm","Time_In_Transition_Zone",6,43.56
"1","365nm","Time_In_Transition_Zone",7,65.12
"1","365nm","Time_In_Transition_Zone",8,30.56
"1","365nm","Time_In_Transition_Zone",9,49.77
"1","365nm","Time_In_Transition_Zone",10,23.66
"2","365nm","Time_In_Transition_Zone",1,162.4
"2","365nm","Time_In_Transition_Zone",2,43.8
"2","365nm","Time_In_Transition_Zone",3,146.98
"2","365nm","Time_In_Transition_Zone",4,157.14
"2","365nm","Time_In_Transition_Zone",5,65.23
"2","365nm","Time_In_Transition_Zone",6,42.15
"2","365nm","Time_In_Transition_Zone",7,54.23
"2","365nm","Time_In_Transition_Zone",8,35.26
"2","365nm","Time_In_Transition_Zone",9,51.23
"2","365nm","Time_In_Transition_Zone",10,24.65
"3","365nm","Time_In_Transition_Zone",1,163.32
"3","365nm","Time_In_Transition_Zone",2,165.23
"3","365nm","Time_In_Transition_Zone",3,150.76
"3","365nm","Time_In_Transition_Zone",4,156.58
"3","365nm","Time_In_Transition_Zone",5,42.26
"3","365nm","Time_In_Transition_Zone",6,44.16
"3","365nm","Time_In_Transition_Zone",7,55.12
"3","365nm","Time_In_Transition_Zone",8,35.25
"3","365nm","Time_In_Transition_Zone",9,48.65
"3","365nm","Time_In_Transition_Zone",10,27.58
"4","365nm","Time_In_Transition_Zone",1,150.56
