dumyID_EachDay_EachLight,trailID,lightWavelength,behaviorType,day,value
2,365nm_1_1,365nm,Time_In_Transition_Zone,1,125.62
2,365nm_2_1,365nm,Time_In_Transition_Zone,2,121.35
2,365nm_3_1,365nm,Time_In_Transition_Zone,3,124.54
2,365nm_4_1,365nm,Time_In_Transition_Zone,4,134.26
2,365nm_5_1,365nm,Time_In_Transition_Zone,5,51.23
2,365nm_6_1,365nm,Time_In_Transition_Zone,6,40.21
2,365nm_7_1,365nm,Time_In_Transition_Zone,7,42.32
2,365nm_8_1,365nm,Time_In_Transition_Zone,8,46.32
2,365nm_9_1,365nm,Time_In_Transition_Zone,9,46.32
2,365nm_10_1,365nm,Time_In_Transition_Zone,10,42.53
3,365nm_1_1,365nm,Time_In_Transition_Zone,1,123.33
3,365nm_2_1,365nm,Time_In_Transition_Zone,2,120.32
3,365nm_3_1,365nm,Time_In_Transition_Zone,3,135.32
3,365nm_4_1,365nm,Time_In_Transition_Zone,4,132.22
3,365nm_5_1,365nm,Time_In_Transition_Zone,5,96.65
3,365nm_6_1,365nm,Time_In_Transition_Zone,6,40.23
3,365nm_7_1,365nm,Time_In_Transition_Zone,7,45.12
3,365nm_8_1,365nm,Time_In_Transition_Zone,8,45.12
3,365nm_9_1,365nm,Time_In_Transition_Zone,9,42.53
3,365nm_10_1,365nm,Time_In_Transition_Zone,10,41.25
4,365nm_1_1,365nm,Time_In_Transition_Zone,1,121.03
4,365nm_2_1,365nm,Time_In_Transition_Zone,2,106.32
4,365nm_3_1,365nm,Time_In_Transition_Zone,3,126.32
4,365nm_4_1,365nm,Time_In_Transition_Zone,4,131.26
4,365nm_5_1,365nm,Time_In_Transition_Zone,5,90.21
4,365nm_6_1,365nm,Time_In_Transition_Zone,6,40.22
4,365nm_7_1,365nm,Time_In_Transition_Zone,7,39.55
4,365nm_8_1,365nm,Time_In_Transition_Zone,8,44.63
4,365nm_9_1,365nm,Time_In_Transition_Zone,9,41.32
4,365nm_10_1,365nm,Time_In_Transition_Zone,10,42.35
5,365nm_1_1,365nm,Time_In_Transition_Zone,1,124.2
5,365nm_2_1,365nm,Time_In_Transition_Zone,2,102.25
5,365nm_3_1,365nm,Time_In_Transition_Zone,3,121.35
5,365nm_4_1,365nm,Time_In_Transition_Zone,4,135.26
5,365nm_5_1,365nm,Time_In_Transition_Zone,5,95.26
5,365nm_6_1,365nm,Time_In_Transition_Zone,6,40.13
5,365nm_7_1,365nm,Time_In_Transition_Zone,7,38.15
5,365nm_8_1,365nm,Time_In_Transition_Zone,8,41.23
5,365nm_9_1,365nm,Time_In_Transition_Zone,9,40.35
5,365nm_10_1,365nm,Time_In_Transition_Zone,10,43.62
6,365nm_1_2,365nm,Time_In_Transition_Zone,1,126.51
6,365nm_2_2,365nm,Time_In_Transition_Zone,2,124.53
6,365nm_3_2,365nm,Time_In_Transition_Zone,3,120.45
6,365nm_4_2,365nm,Time_In_Transition_Zone,4,134.22
6,365nm_5_2,365nm,Time_In_Transition_Zone,5,92.26
6,365nm_6_2,365nm,Time_In_Transition_Zone,6,41.23
6,365nm_7_2,365nm,Time_In_Transition_Zone,7,37.56
6,365nm_8_2,365nm,Time_In_Transition_Zone,8,42.15
6,365nm_9_2,365nm,Time_In_Transition_Zone,9,49.15
6,365nm_10_2,365nm,Time_In_Transition_Zone,10,45.22
7,365nm_1_2,365nm,Time_In_Transition_Zone,1,120.32
7,365nm_2_2,365nm,Time_In_Transition_Zone,2,121.62
7,365nm_3_2,365nm,Time_In_Transition_Zone,3,114.53
7,365nm_4_2,365nm,Time_In_Transition_Zone,4,156.28
7,365nm_5_2,365nm,Time_In_Transition_Zone,5,91.02
7,365nm_6_2,365nm,Time_In_Transition_Zone,6,45.21
7,365nm_7_2,365nm,Time_In_Transition_Zone,7,36.55
7,365nm_8_2,365nm,Time_In_Transition_Zone,8,40.62
7,365nm_9_2,365nm,Time_In_Transition_Zone,9,48.56
7,365nm_10_2,365nm,Time_In_Transition_Zone,10,42.31
8,365nm_1_2,365nm,Time_In_Transition_Zone,1,109.26
8,365nm_2_2,365nm,Time_In_Transition_Zone,2,142.3
8,365nm_3_2,365nm,Time_In_Transition_Zone,3,126.35
8,365nm_4_2,365nm,Time_In_Transition_Zone,4,162.32
8,365nm_5_2,365nm,Time_In_Transition_Zone,5,100.62
8,365nm_6_2,365nm,Time_In_Transition_Zone,6,46.23
8,365nm_7_2,365nm,Time_In_Transition_Zone,7,42.15
8,365nm_8_2,365nm,Time_In_Transition_Zone,8,45.32
8,365nm_9_2,365nm,Time_In_Transition_Zone,9,42.35
8,365nm_10_2,365nm,Time_In_Transition_Zone,10,41.56
9,365nm_1_2,365nm,Time_In_Transition_Zone,1,102.32
9,365nm_2_2,365nm,Time_In_Transition_Zone,2,151.21
9,365nm_3_2,365nm,Time_In_Transition_Zone,3,162.3
9,365nm_4_2,365nm,Time_In_Transition_Zone,4,125.63
9,365nm_5_2,365nm,Time_In_Transition_Zone,5,89.61
9,365nm_6_2,365nm,Time_In_Transition_Zone,6,40.21
9,365nm_7_2,365nm,Time_In_Transition_Zone,7,43.25
9,365nm_8_2,365nm,Time_In_Transition_Zone,8,47.12
9,365nm_9_2,365nm,Time_In_Transition_Zone,9,41.56
9,365nm_10_2,365nm,Time_In_Transition_Zone,10,41.35
