wavelength,behaviorType,day,mean_treatment,sd_treatment,n_treatment,lightWavelength,mean_control,sd_control,n_control,yi,vi,Study_ID
365nm,Distance,6,1861.088,643.9346599084636,15,dark,4161.342,142.9954599778807,15,-0.8046763554567613,0.008059742584689765,Zebrafish_wavelength_study
365nm,Distance,7,1523.8586666666667,466.6246159979541,15,dark,4167.759333333333,228.4445559013222,15,-1.0061328467049637,0.0064513668809150085,Zebrafish_wavelength_study
365nm,Distance,8,1887.7640000000001,497.0316338998383,15,dark,4247.125466666666,377.6619589144818,15,-0.8108493334067093,0.005148622325614393,Zebrafish_wavelength_study
365nm,Distance,9,1769.6353333333334,436.7650240422952,15,dark,4038.162,305.1266017620506,15,-0.8250161389625911,0.004441665018166144,Zebrafish_wavelength_study
365nm,Distance,10,1475.01,318.5245354981084,15,dark,4178.118,431.65790588977137,15,-1.0411961364842792,0.0038204694659189813,Zebrafish_wavelength_study
365nm,Time_In_Thigmotaxis_Zone,1,354.48133333333334,21.89452830101187,15,dark,321.31,21.77561086563196,15,0.09824929906430885,5.605244338962208e-4,Zebrafish_wavelength_study
365nm,Time_In_Thigmotaxis_Zone,2,378.5486666666667,4.964460647825651,15,dark,332.68533333333335,19.50672296805337,15,0.12914754403759227,2.4066353284237573e-4,Zebrafish_wavelength_study
365nm,Time_In_Thigmotaxis_Zone,3,361.5593333333333,19.78885345219326,15,dark,337.9313333333333,18.173143790717532,15,0.06758344004118647,3.925080610439165e-4,Zebrafish_wavelength_study
365nm,Time_In_Thigmotaxis_Zone,4,361.81533333333334,20.332656304107243,15,dark,321.51533333333333,17.54169069334403,15,0.11808871710667558,4.0898308968840777e-4,Zebrafish_wavelength_study
365nm,Time_In_Thigmotaxis_Zone,5,523.118,22.400923195261395,15,dark,310.0833333333333,8.761074352470928,15,0.5229659814725311,1.7546684447930193e-4,Zebrafish_wavelength_study
365nm,Time_In_Thigmotaxis_Zone,6,505.034,7.216584867016887,15,dark,310.378,9.400143008030698,15,0.4868348442331293,7.476218964340676e-5,Zebrafish_wavelength_study
