study_number,Item_type,year_publication,author,title,database,journal_name,DOI,abstract,language,country,yi,vi,n_control,n_treatment,m_control,m_treatment,v_control,v_treatment,lux_control,lux_treatment,experiment_duration_hr,spectra_peak_treatment_nm,exposure_duration_night_hr,exposure_duration_total_hr,v_unit,m_unit,spectra_unit,v_type,eff_size_type,pop_lat,pop_long,species,life_stage_exposure,life_stage_experiment,behavioral_category,behavioral_category2,behavioral_category3,sex,fish_origin,where_experiment,temp_c,light_placement,time_of_assay,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176388,,en,china,-0.07009,3.16E-04,15,15,4176.969333,3894.228,161.6472011,221.5959319,0.03,20,96,635,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176389,,en,china,-0.10053,5.67E-04,15,15,4167.224,3768.665333,127.6935128,327.8286217,0.03,20,120,635,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176390,,en,china,-0.12493,4.53E-04,15,15,4161.342,3672.619333,142.99546,275.2032063,0.03,20,144,635,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176391,,en,china,-0.05515,3.79E-04,15,15,4167.759333,3944.123333,228.4445559,204.0533777,0.03,20,168,635,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176392,,en,china,0.241849,6.77E-04,15,15,4247.125467,5409.148,377.6619589,256.4345654,0.03,20,192,635,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176393,,en,china,0.250458,6.98E-04,15,15,4038.162,5187.477333,305.1266018,357.8940302,0.03,20,216,635,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176394,,en,china,0.222397,1.02E-03,15,15,4178.118,5218.749333,431.6579059,352.1718682,0.03,20,240,635,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176376,,en,china,1.95E-04,4.33E-04,15,15,321.31,321.3726667,21.77561087,13.98920986,0.03,20,24,660,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176375,,en,china,-8.02E-05,4.52E-04,15,15,332.6853333,332.6586667,19.50672297,19.24271768,0.03,20,48,660,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176377,,en,china,-0.06254,3.85E-04,15,15,337.9313333,317.4433333,18.17314379,17.06361026,0.03,20,72,660,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176378,,en,china,-0.00656,3.38E-04,15,15,321.5153333,319.412,17.54169069,14.59915369,0.03,20,96,660,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176379,,en,china,-0.02082,7.15E-05,15,15,310.0833333,303.6926667,8.761074352,5.0242419,0.03,20,120,660,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176380,,en,china,0.052636,3.01E-04,15,15,310.378,327.1526667,9.400143008,19.63960847,0.03,20,144,660,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176381,,en,china,0.003759,1.84E-04,15,15,318.8213333,320.022,12.21485505,11.48027389,0.03,20,168,660,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176382,,en,china,0.463912,2.36E-04,15,15,321.764,511.696,17.93734604,10.72836747,0.03,20,192,660,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176383,,en,china,0.425787,1.71E-04,15,15,336.3373333,514.8633333,15.41532608,11.10504433,0.03,20,216,660,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176384,,en,china,0.448092,8.83E-05,15,15,329.5053333,515.782,10.19253429,9.880013158,0.03,20,240,660,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176385,,en,china,-0.09631,5.57E-04,15,15,4380.472667,3978.272667,351.2199108,174.7569915,0.03,20,24,660,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176386,,en,china,-0.07844,4.61E-04,15,15,4363.193333,4034.043333,234.4694111,255.8789061,0.03,20,48,660,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176387,,en,china,-0.09453,5.17E-04,15,15,4294.291333,3906.948667,306.2102937,201.9476135,0.03,20,72,660,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176388,,en,china,-0.06664,5.49E-04,15,15,4176.969333,3907.686667,161.6472011,320.9064894,0.03,20,96,660,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176389,,en,china,-0.05106,4.83E-04,15,15,4167.224,3959.783333,127.6935128,314.5235141,0.03,20,120,660,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176390,,en,china,-0.04548,6.35E-04,15,15,4161.342,3976.33,142.99546,363.3435124,0.03,20,144,660,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176391,,en,china,-0.1191,1.10E-03,15,15,4167.759333,3699.804667,228.4445559,430.7505592,0.03,20,168,660,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176392,,en,china,0.160926,9.68E-04,15,15,4247.125467,4988.666667,377.6619589,405.667331,0.03,20,192,660,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176393,,en,china,0.269694,6.19E-04,15,15,4038.162,5288.228667,305.1266018,315.9546852,0.03,20,216,660,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176394,,en,china,0.193763,9.83E-04,15,15,4178.118,5071.437333,431.6579059,323.874487,0.03,20,240,660,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
6,journalArticle,2025,"De Russi, Gaia; Bertolucci, Cristiano; Lucon-Xiccato, Tyrone",Artificial light at night impairs visual lateralisation in a fish,WOS,Journal of Experimental Biology,10.1242/jeb.249272,"Environmental light, particularly during early development, significantly influences lateralisation, the asymmetric information processing between brain hemispheres. We hypothesised that lateralisation could be affected by artificial light at night (ALAN), a widespread form of environmental pollution. In our experiment, we exposed eggs and larvae of zebrafish to either control or ALAN conditions and then tested them in a rotational test to assess motor lateralisation, and a mirror test to assess lateralisation in response to visual stimuli. The control group exhibited a significant lateralisation bias at the population level, prioritising the processing of visual information with their right hemisphere. In contrast, the zebrafish exposed to ALAN did not show this bias, leading to a notable reduction in lateralisation. Additionally, we found evidence of reduced individual differences in lateralisation in the ALAN group. Overall, our findings demonstrate that ALAN disrupts the natural lateralisation in fish larvae, possibly affecting their behaviour and survival.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,journalArticle,2018,"Kurvers, R. H. J. M.; Drägestein, J.; Hölker, F.; Jechow, A.; Krause, J.; Bierbach, D.",Artificial Light at Night Affects Emergence from a Refuge and Space Use in Guppies,WOS,Scientific Reports,10.1038/s41598-018-32466-3,"Abstract Artificial light at night (ALAN) is a major form of anthropogenic pollution. ALAN is well known to affect different behaviours during nighttime, when changes in light conditions often have immediate consequences for the trade-offs individuals experience. How ALAN affects daytime behaviours, however, has received far less attention. Here we studied how ALAN affected daytime personality traits and learning ability. We exposed Trinidadian guppies, Poecilia reticulata , for 10 weeks to different ALAN levels: bright light (24 hrs bright light, ~5,000 lx), dim light (12 hrs bright light; 12 hrs dim light, ~0.5 lx) and control (12 hrs bright light; 12 hrs dark). Afterwards, we tested how the treatments affected diurnal emergence from a refuge, space use, activity, sociability and the ability to memorize the location of companion fish. Individuals exposed to the light treatments (both dim and bright light) emerged quicker from a refuge and fish from the bright light treatment spent relatively more time in the open area of the arena. ALAN did not affect any of the other behaviours, although memory could not be tested since fish did not learn the companions’ location. Our results demonstrate that ALAN, next to affecting nocturnal behaviours, can also affect key diurnal behavioural processes, associated with risk-taking.",en,germany,0.0345,0.015388,11,11,3.247374,3.361364,0.491197,1.286086,0,5000,1680,white led,12,24,mm,mm,nm,V,LRR,NA,NA,Poecilia reticulata,adult,adult,activity,velocity,,female,lab,lab,NA,AW,day,,,,,,,,,,,,
7,journalArticle,2018,"Kurvers, R. H. J. M.; Drägestein, J.; Hölker, F.; Jechow, A.; Krause, J.; Bierbach, D.",Artificial Light at Night Affects Emergence from a Refuge and Space Use in Guppies,WOS,Scientific Reports,10.1038/s41598-018-32466-4,"Abstract Artificial light at night (ALAN) is a major form of anthropogenic pollution. ALAN is well known to affect different behaviours during nighttime, when changes in light conditions often have immediate consequences for the trade-offs individuals experience. How ALAN affects daytime behaviours, however, has received far less attention. Here we studied how ALAN affected daytime personality traits and learning ability. We exposed Trinidadian guppies, Poecilia reticulata , for 10 weeks to different ALAN levels: bright light (24 hrs bright light, ~5,000 lx), dim light (12 hrs bright light; 12 hrs dim light, ~0.5 lx) and control (12 hrs bright light; 12 hrs dark). Afterwards, we tested how the treatments affected diurnal emergence from a refuge, space use, activity, sociability and the ability to memorize the location of companion fish. Individuals exposed to the light treatments (both dim and bright light) emerged quicker from a refuge and fish from the bright light treatment spent relatively more time in the open area of the arena. ALAN did not affect any of the other behaviours, although memory could not be tested since fish did not learn the companions’ location. Our results demonstrate that ALAN, next to affecting nocturnal behaviours, can also affect key diurnal behavioural processes, associated with risk-taking.",en,germany,0.04851,0.017677,9,12,2.463062,2.585491,0.767862,0.742788,0,5000,1680,white led,12,24,mm,mm,nm,V,LRR,NA,NA,Poecilia reticulata,adult,adult,activity,velocity,,male,lab,lab,NA,AW,day,,,,,,,,,,,,
7,journalArticle,2018,"Kurvers, R. H. J. M.; Drägestein, J.; Hölker, F.; Jechow, A.; Krause, J.; Bierbach, D.",Artificial Light at Night Affects Emergence from a Refuge and Space Use in Guppies,WOS,Scientific Reports,10.1038/s41598-018-32466-5,"Abstract Artificial light at night (ALAN) is a major form of anthropogenic pollution. ALAN is well known to affect different behaviours during nighttime, when changes in light conditions often have immediate consequences for the trade-offs individuals experience. How ALAN affects daytime behaviours, however, has received far less attention. Here we studied how ALAN affected daytime personality traits and learning ability. We exposed Trinidadian guppies, Poecilia reticulata , for 10 weeks to different ALAN levels: bright light (24 hrs bright light, ~5,000 lx), dim light (12 hrs bright light; 12 hrs dim light, ~0.5 lx) and control (12 hrs bright light; 12 hrs dark). Afterwards, we tested how the treatments affected diurnal emergence from a refuge, space use, activity, sociability and the ability to memorize the location of companion fish. Individuals exposed to the light treatments (both dim and bright light) emerged quicker from a refuge and fish from the bright light treatment spent relatively more time in the open area of the arena. ALAN did not affect any of the other behaviours, although memory could not be tested since fish did not learn the companions’ location. Our results demonstrate that ALAN, next to affecting nocturnal behaviours, can also affect key diurnal behavioural processes, associated with risk-taking.",en,germany,-0.0616,0.020769,11,7,3.247374,3.053365,0.491197,1.104385,0,0.5,1680,white led,12,24,mm,mm,nm,V,LRR,NA,NA,Poecilia reticulata,adult,adult,activity,velocity,,female,lab,lab,NA,AW,day,,,,,,,,,,,,
7,journalArticle,2018,"Kurvers, R. H. J. M.; Drägestein, J.; Hölker, F.; Jechow, A.; Krause, J.; Bierbach, D.",Artificial Light at Night Affects Emergence from a Refuge and Space Use in Guppies,WOS,Scientific Reports,10.1038/s41598-018-32466-6,"Abstract Artificial light at night (ALAN) is a major form of anthropogenic pollution. ALAN is well known to affect different behaviours during nighttime, when changes in light conditions often have immediate consequences for the trade-offs individuals experience. How ALAN affects daytime behaviours, however, has received far less attention. Here we studied how ALAN affected daytime personality traits and learning ability. We exposed Trinidadian guppies, Poecilia reticulata , for 10 weeks to different ALAN levels: bright light (24 hrs bright light, ~5,000 lx), dim light (12 hrs bright light; 12 hrs dim light, ~0.5 lx) and control (12 hrs bright light; 12 hrs dark). Afterwards, we tested how the treatments affected diurnal emergence from a refuge, space use, activity, sociability and the ability to memorize the location of companion fish. Individuals exposed to the light treatments (both dim and bright light) emerged quicker from a refuge and fish from the bright light treatment spent relatively more time in the open area of the arena. ALAN did not affect any of the other behaviours, although memory could not be tested since fish did not learn the companions’ location. Our results demonstrate that ALAN, next to affecting nocturnal behaviours, can also affect key diurnal behavioural processes, associated with risk-taking.",en,germany,0.062561,0.019022,9,12,2.463062,2.622076,0.767862,0.823667,0,0.5,1680,white led,12,24,mm,mm,nm,V,LRR,NA,NA,Poecilia reticulata,adult,adult,activity,velocity,,male,lab,lab,NA,AW,day,,,,,,,,,,,,
7,journalArticle,2018,"Kurvers, R. H. J. M.; Drägestein, J.; Hölker, F.; Jechow, A.; Krause, J.; Bierbach, D.",Artificial Light at Night Affects Emergence from a Refuge and Space Use in Guppies,WOS,Scientific Reports,10.1038/s41598-018-32466-3,"Abstract Artificial light at night (ALAN) is a major form of anthropogenic pollution. ALAN is well known to affect different behaviours during nighttime, when changes in light conditions often have immediate consequences for the trade-offs individuals experience. How ALAN affects daytime behaviours, however, has received far less attention. Here we studied how ALAN affected daytime personality traits and learning ability. We exposed Trinidadian guppies, Poecilia reticulata , for 10 weeks to different ALAN levels: bright light (24 hrs bright light, ~5,000 lx), dim light (12 hrs bright light; 12 hrs dim light, ~0.5 lx) and control (12 hrs bright light; 12 hrs dark). Afterwards, we tested how the treatments affected diurnal emergence from a refuge, space use, activity, sociability and the ability to memorize the location of companion fish. Individuals exposed to the light treatments (both dim and bright light) emerged quicker from a refuge and fish from the bright light treatment spent relatively more time in the open area of the arena. ALAN did not affect any of the other behaviours, although memory could not be tested since fish did not learn the companions’ location. Our results demonstrate that ALAN, next to affecting nocturnal behaviours, can also affect key diurnal behavioural processes, associated with risk-taking.",en,germany,-0.40593,0.022852,11,11,24.30918,16.19862,7.157445,6.573457,0,5000,1680,white led,12,24,mm,mm,nm,V,LRR,NA,NA,Poecilia reticulata,adult,adult,anxiety,thigmotaxis,,female,lab,lab,NA,AW,day,,,,,,,,,,,,
7,journalArticle,2018,"Kurvers, R. H. J. M.; Drägestein, J.; Hölker, F.; Jechow, A.; Krause, J.; Bierbach, D.",Artificial Light at Night Affects Emergence from a Refuge and Space Use in Guppies,WOS,Scientific Reports,10.1038/s41598-018-32466-4,"Abstract Artificial light at night (ALAN) is a major form of anthropogenic pollution. ALAN is well known to affect different behaviours during nighttime, when changes in light conditions often have immediate consequences for the trade-offs individuals experience. How ALAN affects daytime behaviours, however, has received far less attention. Here we studied how ALAN affected daytime personality traits and learning ability. We exposed Trinidadian guppies, Poecilia reticulata , for 10 weeks to different ALAN levels: bright light (24 hrs bright light, ~5,000 lx), dim light (12 hrs bright light; 12 hrs dim light, ~0.5 lx) and control (12 hrs bright light; 12 hrs dark). Afterwards, we tested how the treatments affected diurnal emergence from a refuge, space use, activity, sociability and the ability to memorize the location of companion fish. Individuals exposed to the light treatments (both dim and bright light) emerged quicker from a refuge and fish from the bright light treatment spent relatively more time in the open area of the arena. ALAN did not affect any of the other behaviours, although memory could not be tested since fish did not learn the companions’ location. Our results demonstrate that ALAN, next to affecting nocturnal behaviours, can also affect key diurnal behavioural processes, associated with risk-taking.",en,germany,-0.54058,0.020076,9,12,24.22749,14.11035,6.994395,5.083413,0,5000,1680,white led,12,24,mm,mm,nm,V,LRR,NA,NA,Poecilia reticulata,adult,adult,anxiety,thigmotaxis,,male,lab,lab,NA,AW,day,,,,,,,,,,,,
