Subject_ID,Replicate,Treatment,Time,Distance_moved
A01.008,01,ALAN,49,17.4655
A01.008,01,ALAN,50,6.72311
A01.008,01,ALAN,51,11.7967
A01.008,01,ALAN,52,14.5188
A01.008,01,ALAN,53,31.7725
A01.008,01,ALAN,54,17.6626
A01.008,01,ALAN,55,10.2079
A01.008,01,ALAN,56,29.0311
A01.008,01,ALAN,57,15.7455
A01.008,01,ALAN,58,0
A01.008,01,ALAN,59,0
A01.008,01,ALAN,60,6.8901
A01.009,01,ALAN,1,22.5865
A01.009,01,ALAN,2,0
A01.009,01,ALAN,3,0
A01.009,01,ALAN,4,0
A01.009,01,ALAN,5,0
A01.009,01,ALAN,6,0
A01.009,01,ALAN,7,0
A01.009,01,ALAN,8,0
A01.009,01,ALAN,9,0
A01.009,01,ALAN,10,0
A01.009,01,ALAN,11,0.829816
A01.009,01,ALAN,12,0
A01.009,01,ALAN,13,0
A01.009,01,ALAN,14,0
A01.009,01,ALAN,15,3.05671
A01.009,01,ALAN,16,10.4987
A01.009,01,ALAN,17,0
A01.009,01,ALAN,18,0
A01.009,01,ALAN,19,0
A01.009,01,ALAN,20,0
A01.009,01,ALAN,21,0
A01.009,01,ALAN,22,0
A01.009,01,ALAN,23,0.417137
A01.009,01,ALAN,24,0.410073
A01.009,01,ALAN,25,0
A01.009,01,ALAN,26,0
A01.009,01,ALAN,27,2.99428
A01.009,01,ALAN,28,0
A01.009,01,ALAN,29,7.34855
A01.009,01,ALAN,30,6.41243
A01.009,01,ALAN,31,0
A01.009,01,ALAN,32,2.22797
A01.009,01,ALAN,33,0.894119
A01.009,01,ALAN,34,7.32363
A01.009,01,ALAN,35,0.419501
A01.009,01,ALAN,36,0
A01.009,01,ALAN,37,1.31846
A01.009,01,ALAN,38,0
A01.009,01,ALAN,39,0
A01.009,01,ALAN,40,0
A01.009,01,ALAN,41,0
A01.009,01,ALAN,42,37.0987
A01.009,01,ALAN,43,49.3885
A01.009,01,ALAN,44,0
A01.009,01,ALAN,45,56.1387
A01.009,01,ALAN,46,305.946
A01.009,01,ALAN,47,24.7316
A01.009,01,ALAN,48,0.433704
A01.009,01,ALAN,49,0.451502
A01.009,01,ALAN,50,0
A01.009,01,ALAN,51,0
A01.009,01,ALAN,52,0
A01.009,01,ALAN,53,0
A01.009,01,ALAN,54,0
A01.009,01,ALAN,55,0
