Subject_ID,Replicate,Treatment,Stimulation,Index
A04.027,04,ALAN,14,-1
A04.027,04,ALAN,15,-1
A04.027,04,ALAN,16,-1
A04.027,04,ALAN,17,-1
A04.027,04,ALAN,18,-1
A04.027,04,ALAN,19,-1
A04.027,04,ALAN,20,-1
A04.027,04,ALAN,21,-1
A04.027,04,ALAN,22,-1
A04.027,04,ALAN,23,-1
A04.027,04,ALAN,24,-1
A04.027,04,ALAN,25,-1
A04.028,04,ALAN,1,-1
A04.028,04,ALAN,2,-1
A04.028,04,ALAN,3,-1
A04.028,04,ALAN,4,-0.230513248
A04.028,04,ALAN,5,-0.892956455
A04.028,04,ALAN,6,-1
A04.028,04,ALAN,7,-0.72735667
A04.028,04,ALAN,8,-1
A04.028,04,ALAN,9,-1
A04.028,04,ALAN,10,-1
A04.028,04,ALAN,11,-0.790162033
A04.028,04,ALAN,12,-0.747803008
A04.028,04,ALAN,13,-1
A04.028,04,ALAN,14,-1
A04.028,04,ALAN,15,-0.403036028
A04.028,04,ALAN,16,-0.730944795
A04.028,04,ALAN,17,-1
A04.028,04,ALAN,18,-1
A04.028,04,ALAN,19,-1
A04.028,04,ALAN,20,-1
A04.028,04,ALAN,21,-1
A04.028,04,ALAN,22,-1
A04.028,04,ALAN,23,-1
A04.028,04,ALAN,24,-1
A04.028,04,ALAN,25,-1
C04.031,04,Control,1,-0.672403836
C04.031,04,Control,2,-0.94602102
C04.031,04,Control,3,-1
C04.031,04,Control,4,-1
C04.031,04,Control,5,-1
C04.031,04,Control,6,-1
C04.031,04,Control,7,-1
C04.031,04,Control,8,-1
C04.031,04,Control,9,-1
C04.031,04,Control,10,-1
C04.031,04,Control,11,-1
C04.031,04,Control,12,-1
C04.031,04,Control,13,-1
C04.031,04,Control,14,-1
C04.031,04,Control,15,-1
C04.031,04,Control,16,-1
C04.031,04,Control,17,-1
C04.031,04,Control,18,-1
C04.031,04,Control,19,-1
C04.031,04,Control,20,-1
C04.031,04,Control,21,-1
C04.031,04,Control,22,-1
C04.031,04,Control,23,-1
C04.031,04,Control,24,-1
C04.031,04,Control,25,-1
C04.032,04,Control,1,-0.937556483
C04.032,04,Control,2,-1
C04.032,04,Control,3,-1
C04.032,04,Control,4,-1
C04.032,04,Control,5,-1
C04.032,04,Control,6,-1
C04.032,04,Control,7,-1
C04.032,04,Control,8,-1
C04.032,04,Control,9,-1
C04.032,04,Control,10,-1
C04.032,04,Control,11,-1
C04.032,04,Control,12,-1
C04.032,04,Control,13,-1
C04.032,04,Control,14,-1
C04.032,04,Control,15,-1
C04.032,04,Control,16,-1
C04.032,04,Control,17,-1
